"","STU_ID","X1PAR1EDU","X1PAR2EDU","X1MTHID","X2MTHID"
"663",10715,3,4,1.19,1.82
"664",10716,2,2,0.03,-0.42
"665",10717,4,1,1.16,0.7
"666",10718,3,3,-0.57,-1.54
"667",10719,-8,-8,-0.57,-8
"668",10720,1,1,0.03,-0.96
"669",10721,-8,-8,-8,-0.96
"670",10722,-8,-8,0.03,-8
"671",10723,3,4,1.76,0.16
"672",10724,-8,-8,-0.57,0.16
"673",10725,7,2,0.6,0.7
"674",10726,5,7,0,-1.54
"675",10727,4,4,0.6,0.16
"676",10728,3,4,0.6,1.28
"677",10729,-8,-8,1.76,1.82
"678",10730,-8,-8,1.16,1.24
"679",10731,2,2,-0.57,-0.42
"680",10732,2,-7,0.6,0.7
"681",10733,2,2,1.16,0.7
"682",10734,5,3,0,0.16
"683",10735,4,4,0.6,0.16
"684",10736,2,2,1.16,0.7
"685",10737,2,4,0.6,0.7
"686",10738,3,3,-0.57,-0.42
"687",10739,-8,-8,-8,0.16
"688",10740,2,2,-0.57,0.16
"689",10741,-8,-8,-9,-0.42
"690",10742,2,-7,1.16,1.82
"691",10743,2,3,1.76,1.28
"692",10744,-8,-8,0.6,-8
"693",10745,5,5,0.03,1.24
"694",10746,-8,-8,1.76,0.12
"695",10747,2,2,-0.57,-0.42
"696",10748,-8,-8,1.76,-0.42
"697",10750,7,5,-0.57,-8
"698",10751,4,5,0.6,0.12
"699",10752,4,4,-1.16,0.7
"700",10753,4,4,0.6,-0.42
"701",10754,-8,-8,1.76,-8
"702",10755,2,2,-1.73,-8
"703",10756,4,4,0.6,1.24
"704",10757,2,-7,-1.73,-0.42
"705",10758,5,5,0.6,-8
"706",10759,2,3,0.6,1.82
"707",10760,-8,-8,-8,-9
"708",10761,3,5,0,0.7
"709",10762,-8,-8,0.6,0.16
"710",10763,2,-7,0.6,1.82
"711",10764,3,4,0.6,1.24
"712",10765,2,-7,0,-0.42
"713",10766,2,2,0.6,0.7
"714",10767,-8,-8,1.16,1.82
"715",10768,2,2,0.03,-0.96
"716",10769,4,2,-0.57,0.16
"717",10770,4,2,-1.73,0.16
"718",10771,3,4,1.16,0.16
"719",10772,2,2,-0.57,-0.42
"720",10773,2,-7,0.6,-8
